state,population,t2020-01-20,t2020-01-21,t2020-01-22,t2020-01-23,t2020-01-24,t2020-01-25,t2020-01-26,t2020-01-27,t2020-01-28,t2020-01-29,t2020-01-30,t2020-01-31,t2020-02-01,t2020-02-02,t2020-02-03,t2020-02-04,t2020-02-05,t2020-02-06,t2020-02-07,t2020-02-08,t2020-02-09,t2020-02-10,t2020-02-11,t2020-02-12,t2020-02-13,t2020-02-14,t2020-02-15,t2020-02-16,t2020-02-17,t2020-02-18,t2020-02-19,t2020-02-20,t2020-02-21,t2020-02-22,t2020-02-23,t2020-02-24,t2020-02-25,t2020-02-26,t2020-02-27,t2020-02-28,t2020-02-29,t2020-03-01,t2020-03-02,t2020-03-03,t2020-03-04,t2020-03-05,t2020-03-06,t2020-03-07,t2020-03-08,t2020-03-09,t2020-03-10,t2020-03-11,t2020-03-12,t2020-03-13,t2020-03-14,t2020-03-15,t2020-03-16,t2020-03-17,t2020-03-18,t2020-03-19,t2020-03-20,t2020-03-21,t2020-03-22,t2020-03-23,t2020-03-24,t2020-03-25,t2020-03-26,t2020-03-27,t2020-03-28,t2020-03-29,t2020-03-30,t2020-03-31,t2020-04-01,t2020-04-02,t2020-04-03,t2020-04-04,t2020-04-05,t2020-04-06,t2020-04-07,t2020-04-08,t2020-04-09,t2020-04-10,t2020-04-11,t2020-04-12,t2020-04-13,t2020-04-14,t2020-04-15,t2020-04-16,t2020-04-17,t2020-04-18,t2020-04-19,t2020-04-20,t2020-04-21,t2020-04-22,t2020-04-23,t2020-04-24,t2020-04-25,t2020-04-26,p2020-01-20,p2020-01-21,p2020-01-22,p2020-01-23,p2020-01-24,p2020-01-25,p2020-01-26,p2020-01-27,p2020-01-28,p2020-01-29,p2020-01-30,p2020-01-31,p2020-02-01,p2020-02-02,p2020-02-03,p2020-02-04,p2020-02-05,p2020-02-06,p2020-02-07,p2020-02-08,p2020-02-09,p2020-02-10,p2020-02-11,p2020-02-12,p2020-02-13,p2020-02-14,p2020-02-15,p2020-02-16,p2020-02-17,p2020-02-18,p2020-02-19,p2020-02-20,p2020-02-21,p2020-02-22,p2020-02-23,p2020-02-24,p2020-02-25,p2020-02-26,p2020-02-27,p2020-02-28,p2020-02-29,p2020-03-01,p2020-03-02,p2020-03-03,p2020-03-04,p2020-03-05,p2020-03-06,p2020-03-07,p2020-03-08,p2020-03-09,p2020-03-10,p2020-03-11,p2020-03-12,p2020-03-13,p2020-03-14,p2020-03-15,p2020-03-16,p2020-03-17,p2020-03-18,p2020-03-19,p2020-03-20,p2020-03-21,p2020-03-22,p2020-03-23,p2020-03-24,p2020-03-25,p2020-03-26,p2020-03-27,p2020-03-28,p2020-03-29,p2020-03-30,p2020-03-31,p2020-04-01,p2020-04-02,p2020-04-03,p2020-04-04,p2020-04-05,p2020-04-06,p2020-04-07,p2020-04-08,p2020-04-09,p2020-04-10,p2020-04-11,p2020-04-12,p2020-04-13,p2020-04-14,p2020-04-15,p2020-04-16,p2020-04-17,p2020-04-18,p2020-04-19,p2020-04-20,p2020-04-21,p2020-04-22,p2020-04-23,p2020-04-24,p2020-04-25,p2020-04-26,n2020-01-20,n2020-01-21,n2020-01-22,n2020-01-23,n2020-01-24,n2020-01-25,n2020-01-26,n2020-01-27,n2020-01-28,n2020-01-29,n2020-01-30,n2020-01-31,n2020-02-01,n2020-02-02,n2020-02-03,n2020-02-04,n2020-02-05,n2020-02-06,n2020-02-07,n2020-02-08,n2020-02-09,n2020-02-10,n2020-02-11,n2020-02-12,n2020-02-13,n2020-02-14,n2020-02-15,n2020-02-16,n2020-02-17,n2020-02-18,n2020-02-19,n2020-02-20,n2020-02-21,n2020-02-22,n2020-02-23,n2020-02-24,n2020-02-25,n2020-02-26,n2020-02-27,n2020-02-28,n2020-02-29,n2020-03-01,n2020-03-02,n2020-03-03,n2020-03-04,n2020-03-05,n2020-03-06,n2020-03-07,n2020-03-08,n2020-03-09,n2020-03-10,n2020-03-11,n2020-03-12,n2020-03-13,n2020-03-14,n2020-03-15,n2020-03-16,n2020-03-17,n2020-03-18,n2020-03-19,n2020-03-20,n2020-03-21,n2020-03-22,n2020-03-23,n2020-03-24,n2020-03-25,n2020-03-26,n2020-03-27,n2020-03-28,n2020-03-29,n2020-03-30,n2020-03-31,n2020-04-01,n2020-04-02,n2020-04-03,n2020-04-04,n2020-04-05,n2020-04-06,n2020-04-07,n2020-04-08,n2020-04-09,n2020-04-10,n2020-04-11,n2020-04-12,n2020-04-13,n2020-04-14,n2020-04-15,n2020-04-16,n2020-04-17,n2020-04-18,n2020-04-19,n2020-04-20,n2020-04-21,n2020-04-22,n2020-04-23,n2020-04-24,n2020-04-25,n2020-04-26
Alabama,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,12,28,40,56,64,74,96,109,152,1602,1832,2321,2812,4099,4771,4880,4990,6553,7279,7774,8736,9619,10853,13078,14765,14916,19122,20827,21026,21249,21583,29182,33117,34077,36391,37848,42538,45712,45900,48526,48760,52641,52695,71344,73551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,12,28,40,56,64,74,96,124,152,1602,1832,2321,2812,4099,4771,4880,4990,6553,7279,7774,8736,9619,10853,13078,14765,14916,19122,20827,21026,21249,21583,29182,33117,34077,36391,37848,42538,45712,45900,48526,48760,52641,52695,71344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,22,28,40,56,64,74,96,109,1464,1665,2106,2529,3593,4184,4771,4880,5694,6553,7279,7774,8736,9619,11282,13078,14765,16753,19122,20827,21026,21249,25448,29241,33117,34077,36391,37883,42538,45712,45900,48526,48760,52641,65207,71344
Alaska,731545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,14,23,23,46,46,60,144,144,144,337,412,438,698,772,968,968,1022,1691,1860,2388,2921,3334,3654,3713,4603,5022,6016,6040,6284,6883,6913,7068,7223,7432,7732,8038,8038,8348,8664,8735,9450,9655,9895,10124,11119,12159,12161,12281,15732,16177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,14,23,23,46,46,60,144,144,144,337,412,438,698,772,968,968,1022,1691,1860,2388,2921,3334,3654,3713,4603,5022,6016,6040,6284,6883,6913,7068,7223,7432,7732,8038,8038,8348,8664,8735,9450,9655,9895,10124,11119,12159,12161,12281,15732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,14,23,23,46,46,59,143,144,144,334,406,432,686,758,946,968,986,1649,1801,2319,2836,3232,3540,3654,4470,4879,5859,6016,6099,6692,6883,6913,7068,7223,7475,7766,8038,8063,8371,8664,9141,9450,9655,9895,10790,11824,12159,12161,15393,15836
Arizona,7278717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,36,49,49,49,57,68,91,103,133,133,143,162,176,219,276,344,434,574,670,773,924,8191,8328,13872,16759,19371,21058,22709,24673,27160,27410,32534,33375,34564,37178,37734,40530,42109,43347,44096,45310,47398,49230,51045,52990,54500,55152,56601,58697,60714,62508,64811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,30,36,49,49,49,57,68,91,103,133,133,143,162,176,219,276,344,434,574,670,773,924,8191,8328,13872,16759,19371,21058,22709,24673,27160,27410,32534,33375,34564,37178,37734,40530,42109,43347,44096,45310,47398,49230,51045,52990,54500,55152,56601,58697,60714,62508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,33,44,49,49,51,59,82,94,121,133,133,143,162,176,219,276,344,434,574,670,773,7455,8191,12953,15602,18082,19645,21111,22904,25141,27160,30078,32534,33375,34564,37178,37734,40530,42109,43347,44096,45310,47398,49230,51045,52990,54500,55152,56601,58697,60714,62508
Arkansas,3017804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,12,12,12,30,39,77,119,154,219,269,356,447,685,876,1080,1165,1717,1839,1926,3342,3453,5735,6482,7938,8523,9699,10370,11242,12845,13638,14530,14951,17120,18578,19722,20804,21131,21834,22675,23494,24141,24209,26553,27441,29713,31590,35578,38053,39469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,12,12,12,30,39,77,119,154,219,269,356,447,685,876,1080,1165,1717,1839,1926,3342,3453,5735,6482,7938,8523,9699,10370,11242,12845,13638,14530,14951,17120,18578,19722,20804,21131,21834,22675,23494,24141,24209,26553,27441,29713,31590,35578,38053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,12,12,12,24,30,65,103,132,197,236,310,356,567,711,906,1080,1437,1717,1839,2938,3342,5262,5959,7354,7938,8995,9699,10412,11970,12845,13638,14530,15949,17352,18578,19722,20804,21131,21834,22675,23494,24141,24630,26553,27441,29713,32837,35578,38053
California,39512223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,515,522,531,550,804,823,1073,1118,1118,1168,1209,8316,8464,8592,9711,11487,12528,12840,14300,15554,18276,20386,21259,25192,26257,26996,29254,29927,33000,35300,113700,116533,117431,131229,144264,163500,164863,172076,190328,190882,202208,216486,246400,251614,259666,280900,290500,300100,465327,482097,494173,506035,526084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,515,515,522,531,550,804,823,1073,1118,1118,1168,1209,8316,8464,8592,9711,11487,12528,12840,14300,15554,18276,20386,21259,25192,26257,26996,29254,29927,33000,35300,113700,116533,117431,131229,144264,163500,164863,172076,190328,190882,202208,216486,246400,251614,259666,280900,290500,300100,465327,482097,494173,506035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,515,515,522,531,690,804,916,1073,1118,1118,1168,7981,8316,8464,8787,10424,11487,12528,12840,14300,15921,18276,20386,21259,25192,26257,26996,29254,29927,33000,101674,113700,116533,117431,131229,145191,163500,164863,172076,190328,190882,202208,220218,246400,251614,259666,280900,290500,429931,465327,482097,494173,506035
Colorado,5758736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,48,63,112,142,154,279,343,596,711,758,758,1216,1800,2328,2952,3680,4550,5436,6224,7701,8064,10122,11676,13276,15364,15364,16849,18645,20411,22071,23900,25773,26875,28094,29199,32653,32653,34873,37534,38742,39580,40533,41830,43307,44606,46195,47466,48704,50645,52324,56789,59791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,48,63,112,142,154,279,343,596,711,758,758,1216,1800,2328,2952,3680,4550,5436,6224,7701,8064,10122,11676,13276,15364,15364,16849,18645,20411,22071,23900,25773,26875,28094,29199,32653,32653,34873,37534,38742,39580,40533,41830,43307,44606,46195,47466,48704,50645,52324,56789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,46,55,104,133,142,251,298,524,610,711,758,1056,1617,2112,2675,3317,4075,4845,5504,6789,7701,8692,10122,11676,13276,15364,15364,16849,18645,20411,22071,23900,25773,26875,28094,29199,32653,32653,34873,37534,38742,39580,40533,41830,43307,44606,46195,47466,48704,50645,52324,56789
Connecticut,3565287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,47,56,74,95,105,136,145,151,166,193,700,798,2300,3100,4500,5300,5898,6637,8400,8400,11900,14600,16157,16600,18300,20015,22029,23270,26686,29036,29036,33502,36288,39831,41220,44309,45841,50143,53122,55462,55462,58213,62806,64192,69918,71497,74038,77602,79811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,47,56,74,95,105,136,145,151,166,193,700,798,2300,3100,4500,5300,5898,6637,8400,8400,11900,14600,16157,16600,18300,20015,22029,23270,26686,29036,29036,33502,36288,39831,41220,44309,45841,50143,53122,55462,55462,58213,62806,64192,69918,71497,74038,77602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,46,54,71,89,99,125,136,145,151,166,604,700,2106,2877,4085,4682,5300,5898,7109,8400,9907,12029,14600,16157,16600,18300,20015,22029,23270,26686,29036,29036,33502,36288,39831,41220,44309,45841,50143,53122,55462,55462,58213,62806,64192,69918,71497,74038,77602
Delaware,973764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,15,17,18,27,34,42,42,44,52,61,66,74,81,92,104,127,151,166,199,250,268,2480,4015,4383,4959,5445,6467,6994,6994,8556,8556,9890,11741,11741,11741,11820,12304,13102,13350,14017,14017,14794,16470,16656,16656,16912,17379,17698,19249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,15,17,18,27,34,42,42,44,52,61,66,74,81,92,104,127,151,166,214,250,268,2480,4015,4383,4959,5445,6467,6994,6994,8556,8556,9890,11741,11741,11741,11820,12304,13102,13350,14017,14017,14794,16470,16656,16656,16912,17379,17698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,15,17,17,23,30,36,42,42,44,52,61,66,74,81,92,104,127,151,166,199,250,2216,3696,4015,4566,4995,5874,6467,6994,7628,8556,8683,10415,11741,11741,11741,11820,12304,13102,13350,14017,14017,14794,16470,16656,16656,16912,17379,17698
District of Columbia,705749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,11,15,22,25,30,30,59,95,113,126,169,192,572,583,1055,1229,1332,1606,1857,2164,2515,2811,3083,3757,3848,5070,5584,6438,6834,7453,7823,8283,8724,9355,10039,10640,10934,11284,11525,12150,12643,13268,13699,14113,14939,15502,15930,16533,17302,18068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,11,15,22,25,30,30,59,95,113,126,169,192,572,583,1055,1229,1332,1606,1857,2164,2515,2811,3083,3757,3848,5070,5584,6438,6834,7453,7823,8283,8724,9355,10039,10640,10934,11284,11525,12150,12643,13268,13699,14113,14939,15502,15930,16533,17302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,10,14,17,22,25,30,49,79,96,113,138,169,501,572,957,1113,1229,1423,1626,1897,2211,2515,2811,3262,3757,4417,5070,5584,6438,6834,7453,7823,8283,8724,9355,10039,10640,10934,11284,11525,12150,12643,13268,13699,14113,14939,15502,15930,16533,17302
Florida,21477737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,40,64,114,135,158,241,329,333,528,555,794,825,1126,1539,1923,2390,7237,8820,12234,14539,17056,26096,30951,39129,43316,53698,60623,66484,77296,91722,102067,113404,123274,138162,143134,152549,162830,172933,182753,196207,203180,213509,219248,234837,246527,256079,266225,277059,288627,296708,316959,333099,344613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,40,64,114,135,158,241,329,333,528,555,794,825,1126,1539,1923,2390,7237,8820,12234,14539,17056,26096,30951,39129,43316,53698,60623,66484,77296,91722,102067,113404,123274,138162,143134,152549,162830,172933,182753,196207,203180,213509,219248,234837,246527,256079,266225,277059,288627,296708,316959,333099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,55,100,118,140,222,301,329,478,528,678,794,940,1225,1539,1923,6579,7990,11063,13127,15374,23741,28186,35366,39129,48225,54285,60623,69286,82137,91722,102067,113404,123415,138162,143134,152549,162830,172933,182753,196207,203180,213509,219248,234837,246527,256079,266225,277059,288627,296708,316959,333099
