"date","state","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","hash","dateChecked","death","hospitalized","total","totalTestResults","posNeg","fips","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease","Index","positive_z","negative_z","hosp_z","death_z","total_z","recovered_z"
20200421,"AK",329,10790,NA,42,36,NA,NA,NA,NA,168,"10d6907c6ec12caa4a5896fc50c4a3f06c836c0c","2020-04-21T20:00:00Z",9,36,11119,11119,11119,2,0,0,987,8,995,1,-0.236115046004339,-0.247618201533708,-0.232383874599556,-0.220030931358343,-0.242245448171942,-0.255610906958254
20200421,"AL",5231,43295,NA,NA,699,NA,260,NA,157,NA,"15be9201bc9d81ab58bf59be774f06a82952cdf7","2020-04-21T20:00:00Z",177,699,48526,48526,48526,1,10,58,2420,206,2626,2,0.0360063331537907,0.57478809117831,-0.129338658321804,-0.0598443707664258,0.446266068011945,NA
20200421,"AR",2227,25214,NA,86,291,NA,NA,27,57,809,"c06b4ad615195a2c20654842d3c404cb48159ee5","2020-04-21T20:00:00Z",43,291,27441,27441,27441,5,1,0,584,304,888,3,-0.13075266786437,0.117322218896323,-0.192751099108113,-0.187612222667121,0.0581765307933161,-0.0755452993389009
20200421,"AS",0,3,17,NA,NA,NA,NA,NA,NA,NA,"afa8b4a6d80b0cf70a2968a2a992a6a71043ef8e","2020-04-21T20:00:00Z",NA,NA,20,3,3,60,0,0,0,0,0,4,-0.254378598379498,-0.520539188442938,NA,NA,-0.446533130106472,NA
20200421,"AZ",5251,49901,NA,637,NA,285,NA,181,NA,1155,"4a69e8a6cc27cbb70acca9544164c6a14767ec94","2020-04-21T20:00:00Z",208,NA,55152,55152,55152,4,21,0,465,187,652,5,0.0371165794987851,0.741925945959285,NA,-0.0302861363714888,0.568223918313612,0.0216508008737293
20200421,"CA",33261,266839,NA,4886,NA,1502,NA,NA,NA,NA,"130999e1dae6a15d665ea5cc4f161cd7681a5a73","2020-04-21T20:00:00Z",1268,NA,300100,300100,300100,6,60,0,7317,2283,9600,6,1.59201658566346,6.23065618218017,NA,0.980414781648938,5.07672550534841,NA
20200421,"CO",10106,37360,NA,861,1880,NA,NA,NA,NA,NA,"22187aac3cc890945d5c4dfbc2e48b512bf82d5c","2020-04-21T20:00:00Z",449,1880,47466,47466,47466,8,27,67,895,376,1271,7,0.306628879746178,0.424627151407634,0.0542154901307231,0.199505298763344,0.426755756916297,NA
20200421,"CT",20360,43832,NA,1949,NA,NA,NA,NA,NA,NA,"f39f1fb2973519f49a34aedc8a1765d0e03e75cc","2020-04-21T20:00:00Z",1423,NA,64192,64192,64192,9,92,0,841,545,1386,8,0.875852180824813,0.588374683369861,NA,1.12820595362362,0.734613741242538,NA
20200421,"DC",3098,11841,NA,402,NA,120,NA,69,NA,636,"75a46a86c32f291b33808cf89aebfe736e271561","2020-04-21T20:00:00Z",112,NA,14939,14939,14939,11,7,0,655,171,826,9,-0.0824014395398632,-0.221026938231436,NA,-0.121821313852584,-0.171934704412152,-0.124143349445216
20200421,"DE",2931,13725,NA,263,NA,NA,NA,NA,NA,565,"aed23d700f3f936849e58824043aa8cedcb48ab1","2020-04-21T20:00:00Z",82,NA,16656,16656,16656,10,10,0,0,186,186,10,-0.0916719965205666,-0.173360011436499,NA,-0.150426056815426,-0.140331681627975,-0.144088213939715
